industry_code,is_loan_eligible,employee_limit,has_special_condition,max_revenue
01110,1,5,0,8000000000
01121,1,5,0,8000000000
01122,1,5,0,8000000000
01123,1,5,0,8000000000
01131,1,5,0,8000000000
01132,1,5,0,8000000000
01140,1,5,0,8000000000
01151,1,5,0,8000000000
01159,1,5,0,8000000000
01211,1,5,0,8000000000
01212,1,5,0,8000000000
01220,1,5,0,8000000000
01231,1,5,0,8000000000
01239,1,5,0,8000000000
01291,1,5,0,8000000000
01299,1,5,0,8000000000
01300,1,5,0,8000000000
01411,1,5,0,8000000000
01412,1,5,0,8000000000
01420,1,5,0,8000000000
01500,1,5,0,8000000000
02011,1,5,0,8000000000
02012,1,5,0,8000000000
02020,1,5,0,8000000000
02030,1,5,0,8000000000
02040,1,5,0,8000000000
03111,1,5,0,8000000000
03112,1,5,0,8000000000
03120,1,5,0,8000000000
03211,1,5,0,8000000000
03212,1,5,0,8000000000
03213,1,5,0,8000000000
03220,1,5,0,8000000000
05100,1,10,0,8000000000
05200,1,10,0,8000000000
06100,1,10,0,8000000000
06200,1,10,0,8000000000
07110,1,10,0,8000000000
07121,1,10,0,8000000000
07122,1,10,0,8000000000
07210,1,10,0,8000000000
07220,1,10,0,8000000000
07290,1,10,0,8000000000
08000,1,10,0,8000000000
10111,1,10,0,12000000000
10112,1,10,0,12000000000
10121,1,10,0,12000000000
10122,1,10,0,12000000000
10129,1,10,0,12000000000
10211,1,10,0,12000000000
10212,1,10,0,12000000000
10213,1,10,0,12000000000
10219,1,10,0,12000000000
10220,1,10,0,12000000000
10301,1,10,0,12000000000
10302,1,10,0,12000000000
10309,1,10,0,12000000000
10411,1,10,0,12000000000
10412,1,10,0,12000000000
10413,1,10,0,12000000000
10421,1,10,0,12000000000
10422,1,10,0,12000000000
10511,1,10,0,12000000000
10512,1,10,0,12000000000
10513,1,10,0,12000000000
10519,1,10,0,12000000000
10520,1,10,0,12000000000
10601,1,10,0,12000000000
10602,1,10,0,12000000000
10603,1,10,0,12000000000
10701,1,10,0,12000000000
10709,1,10,0,12000000000
10810,1,10,0,12000000000
10820,1,10,0,12000000000
10831,1,10,0,12000000000
10832,1,10,0,12000000000
10833,1,10,0,12000000000
10839,1,10,0,12000000000
10891,1,10,0,12000000000
10892,1,10,0,12000000000
10893,1,10,0,12000000000
10894,1,10,0,12000000000
10895,1,10,0,12000000000
10896,1,10,0,12000000000
10897,1,10,0,12000000000
10899,1,10,0,12000000000
10901,1,10,0,12000000000
10902,1,10,0,12000000000
10903,1,10,0,12000000000
11111,1,10,0,12000000000
11112,1,10,0,12000000000
11119,1,10,0,12000000000
11121,1,10,0,12000000000
11122,1,10,0,12000000000
11129,1,10,0,12000000000
11201,1,10,0,12000000000
11202,1,10,0,12000000000
11209,1,10,0,12000000000
12000,1,10,0,8000000000
13101,1,10,0,8000000000
13102,1,10,0,8000000000
13103,1,10,0,8000000000
13104,1,10,0,8000000000
13109,1,10,0,8000000000
13211,1,10,0,8000000000
13212,1,10,0,8000000000
13213,1,10,0,8000000000
13219,1,10,0,8000000000
13221,1,10,0,8000000000
13222,1,10,0,8000000000
13223,1,10,0,8000000000
13224,1,10,0,8000000000
13225,1,10,0,8000000000
13229,1,10,0,8000000000
13300,1,10,0,8000000000
13401,1,10,0,8000000000
13402,1,10,0,8000000000
13403,1,10,0,8000000000
13409,1,10,0,8000000000
13910,1,10,0,8000000000
13921,1,10,0,8000000000
13922,1,10,0,8000000000
13991,1,10,0,8000000000
13992,1,10,0,8000000000
13993,1,10,0,8000000000
13994,1,10,0,8000000000
13999,1,10,0,8000000000
14111,1,10,0,12000000000
14112,1,10,0,12000000000
14120,1,10,0,12000000000
14130,1,10,0,12000000000
14191,1,10,0,12000000000
14192,1,10,0,12000000000
14193,1,10,0,12000000000
14194,1,10,0,12000000000
14199,1,10,0,12000000000
14200,1,10,0,12000000000
14300,1,10,0,12000000000
14411,1,10,0,12000000000
14419,1,10,0,12000000000
14491,1,10,0,12000000000
14499,1,10,0,12000000000
15110,1,10,0,12000000000
15121,1,10,0,12000000000
15129,1,10,0,12000000000
15190,1,10,0,12000000000
15211,1,10,0,12000000000
15219,1,10,0,12000000000
15220,1,10,0,12000000000
16101,1,10,0,8000000000
16102,1,10,0,8000000000
16103,1,10,0,8000000000
16211,1,10,0,8000000000
16212,1,10,0,8000000000
16221,1,10,0,8000000000
16229,1,10,0,8000000000
16231,1,10,0,8000000000
